Number,al_type,seat_pos,usefulness,convience,sex,temp,light,lesson_care,room_size,room_crowd,chair_easy,teacher_voice,teacher_dist,legibility,attention_easy,tired_easy,cool_al,atmosphere,student_dist,express,communication,ownership,contribution,motivation,ict_plenty
1,student_prezen,8,2,2,2,6,4,1,3,2,3,2,2,2,2,2,4,3,3,4,3,2,3,3,3
2,student_prezen,6,1,1,1,6,4,1,1,1,4,1,4,1,4,4,1,1,1,4,6,4,3,1,4
3,student_prezen,7,2,1,2,2,1,1,2,5,1,1,1,1,1,1,1,1,7,1,2,2,2,2,2
4,student_prezen,4,4,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,3,1
5,student_prezen,5,2,2,1,3,1,1,2,3,1,1,1,1,1,1,1,1,2,3,2,1,3,2,1
6,student_prezen,7,2,4,1,5,2,3,1,1,2,1,3,3,3,3,2,2,6,5,3,3,3,4,2
7,student_prezen,3,1,1,1,2,2,2,2,2,2,2,2,2,2,4,3,4,4,2,3,4,5,3,2
8,student_prezen,6,2,2,1,6,4,1,5,4,3,4,4,4,2,4,2,2,4,4,4,4,5,2,2
9,student_prezen,8,3,2,1,3,3,2,3,3,4,3,2,4,4,3,3,3,3,2,3,4,5,4,4
10,student_prezen,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,4,1,1
11,student_prezen,6,1,1,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1
12,student_prezen,7,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,4,4,1
13,student_prezen,3,1,1,1,3,1,1,1,4,1,1,1,1,1,4,1,1,3,5,1,4,4,4,4
14,student_prezen,1,1,2,1,5,2,1,2,1,1,1,2,4,1,3,1,1,1,2,2,3,3,1,1
15,teach_others,1,2,3,1,6,5,3,5,4,4,2,3,2,3,6,5,4,3,3,3,2,2,3,5
16,teach_others,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
17,teach_others,4,2,3,1,2,3,1,2,4,3,2,1,1,1,2,1,2,2,2,3,3,3,3,2
18,teach_others,9,1,1,2,5,2,1,2,2,4,2,2,2,2,2,2,2,2,2,2,2,3,2,2
19,teach_others,3,1,1,2,1,2,1,2,1,1,1,1,1,1,3,2,1,1,1,1,1,2,2,1
20,teach_others,7,2,1,2,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,3,5,1,1
21,student_prezen,5,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1
22,student_prezen,6,1,3,1,4,5,1,1,3,3,3,3,5,1,5,3,3,3,2,3,3,3,2,3
23,student_prezen,6,2,2,2,3,3,2,2,2,3,4,4,4,4,4,3,4,3,6,6,6,7,3,2
24,student_prezen,8,1,1,1,1,6,1,1,1,6,1,1,6,3,4,1,1,1,4,1,1,2,2,1
25,student_prezen,9,3,3,1,2,3,2,1,3,3,2,3,2,4,5,2,3,3,3,2,3,4,4,3
26,student_prezen,8,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,2,1
27,student_prezen,5,2,2,1,1,2,1,1,1,1,2,2,1,3,2,2,3,2,2,2,2,3,2,2
28,student_prezen,8,3,3,1,5,4,3,2,2,3,3,3,4,4,4,3,3,4,3,4,5,4,4,4
29,student_prezen,7,2,3,1,4,4,3,5,4,4,3,3,4,4,2,2,2,3,3,3,4,4,3,3
30,student_prezen,7,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,2,1
31,student_prezen,6,2,2,1,1,4,2,3,2,3,1,1,1,2,2,1,2,2,1,2,2,3,3,2
32,student_prezen,9,3,2,1,4,3,4,2,2,2,2,1,5,5,4,4,2,4,2,3,3,6,5,3
33,student_prezen,9,1,2,1,2,3,3,2,2,2,2,2,3,2,3,5,1,1,2,2,2,5,3,3
34,student_prezen,4,2,2,2,2,3,2,1,2,5,2,2,4,3,6,3,3,2,2,2,2,4,4,2
35,student_prezen,4,3,4,1,4,4,5,4,3,4,4,4,4,4,4,4,4,3,5,5,3,4,4,3
36,student_prezen,9,2,2,1,3,3,1,1,1,1,1,2,2,2,4,4,3,3,3,4,4,4,4,4
37,student_prezen,8,1,3,1,5,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1
38,student_prezen,6,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
39,student_prezen,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1
40,student_prezen,4,2,3,2,3,3,3,2,2,3,3,3,3,4,3,2,2,2,4,3,2,3,4,3
41,student_prezen,5,2,2,2,2,1,1,1,1,2,1,1,3,2,1,2,1,1,5,4,4,4,4,2
42,student_prezen,5,1,2,2,4,5,1,1,2,4,3,3,5,1,4,1,2,2,4,4,4,4,2,5
43,group_work,2,5,4,2,5,2,2,1,1,1,2,1,1,1,6,3,4,4,5,4,5,5,7,4
44,group_work,8,3,5,2,5,4,5,5,5,6,2,2,2,3,5,3,3,3,3,3,6,4,4,4
45,group_work,8,2,4,2,3,2,2,1,4,2,3,4,5,4,4,2,2,4,3,3,4,5,4,1
46,group_work,5,2,6,2,3,3,3,1,1,1,1,1,2,1,1,1,1,1,1,1,6,2,4,6
47,group_work,5,1,3,2,5,2,2,1,1,1,1,1,4,1,1,1,1,1,1,1,5,3,3,2
48,group_work,8,3,4,2,4,2,2,1,2,5,3,3,2,2,5,2,2,2,3,3,5,4,4,2
49,group_work,8,4,5,1,2,2,4,2,1,3,3,2,3,2,5,4,3,3,5,3,4,7,5,3
50,group_work,8,2,3,1,2,3,3,1,1,3,2,1,1,1,6,1,5,1,1,1,7,6,4,4
51,group_work,8,3,5,1,4,4,2,1,4,4,3,5,4,4,2,2,2,1,1,1,4,4,4,4
52,group_work,8,1,5,1,1,1,2,4,3,2,1,1,3,1,1,1,1,1,1,1,1,4,2,3
53,group_work,8,2,5,1,1,1,3,1,1,3,1,1,2,1,6,1,1,1,1,1,2,4,6,1
54,group_work,8,2,2,2,5,4,2,2,2,2,6,4,5,2,6,2,2,2,4,4,6,6,6,1
55,group_work,8,2,3,1,2,1,2,3,1,4,2,3,2,2,2,2,2,2,2,2,4,3,2,3
56,group_work,8,2,3,1,1,3,4,2,2,2,4,3,3,2,5,3,3,2,3,3,2,4,5,2
57,group_work,5,2,2,1,5,2,2,1,2,1,2,1,1,1,1,1,2,1,2,4,7,6,4,1
58,group_work,5,2,3,1,2,2,2,1,1,5,2,2,2,2,2,2,2,1,1,1,3,3,2,3
59,group_work,5,1,1,1,1,1,1,1,1,4,1,1,1,3,4,1,1,1,1,1,4,4,1,1
60,group_work,9,1,1,1,1,4,4,1,1,1,1,1,4,1,4,1,1,1,1,1,4,4,1,1
61,group_work,5,3,4,1,3,3,2,4,4,6,5,5,2,2,3,2,2,2,2,2,4,4,3,4
62,group_work,3,1,6,1,2,3,1,4,2,6,2,3,5,4,4,2,2,5,3,6,4,4,2,4
63,group_work,2,1,1,2,3,4,2,1,1,5,1,1,1,1,5,1,2,1,1,1,3,4,3,1
64,group_work,3,2,1,1,3,1,2,1,4,2,1,1,1,1,4,2,2,4,2,2,2,6,5,1
65,group_work,3,2,2,2,3,1,1,1,1,1,1,1,2,2,1,3,1,3,5,4,2,5,4,2
66,group_work,6,3,3,1,1,4,2,2,1,6,5,4,3,2,3,2,2,2,6,3,3,3,3,3
67,group_work,6,2,3,1,5,4,2,4,4,4,3,4,5,4,4,3,4,4,2,3,4,4,4,4
68,group_work,7,3,5,1,6,5,3,4,4,5,3,3,5,4,4,3,3,3,4,4,3,5,4,5
69,group_work,7,2,2,1,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
70,group_work,7,3,3,1,6,4,3,3,3,5,7,4,4,3,6,4,4,5,4,3,5,5,4,7
71,group_work,7,3,5,1,5,4,3,3,1,6,1,1,4,3,6,3,3,1,1,1,3,5,4,2
72,group_work,4,3,4,1,3,3,3,4,3,4,3,4,4,3,4,3,3,3,3,3,4,3,3,3
73,group_work,4,2,5,1,4,2,2,4,2,5,3,3,2,2,5,3,2,2,2,2,3,4,3,2
74,group_work,4,2,1,1,3,3,1,3,2,2,1,1,2,1,1,1,2,2,1,1,3,2,2,1
75,group_work,9,4,2,2,4,2,4,1,1,3,2,2,2,2,2,2,3,2,2,2,4,4,3,2
76,group_work,9,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
77,group_work,3,3,2,2,6,4,2,2,3,7,2,1,2,2,2,4,3,7,2,2,3,6,4,2
78,group_work,6,2,2,2,6,5,2,6,6,1,2,4,2,6,7,3,3,5,2,4,7,3,3,4
79,group_work,4,1,1,1,3,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1
80,group_work,6,6,1,1,7,1,2,2,1,2,1,1,1,1,5,2,2,2,2,1,4,2,3,1
81,group_work,4,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,2,2,1
82,group_work,6,1,1,2,3,2,2,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1
83,group_work,6,2,3,2,3,2,3,2,2,5,3,2,2,3,3,2,3,3,3,3,3,3,4,3
84,group_work,5,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1
85,group_work,7,4,1,2,5,3,2,2,1,5,2,3,2,2,4,2,2,5,2,2,5,7,5,2
86,group_work,7,5,4,1,6,1,4,1,1,2,1,2,2,1,2,5,2,1,2,2,3,2,4,1
87,group_work,8,1,2,2,4,1,3,1,1,3,3,2,3,2,2,2,3,2,3,3,2,2,3,2
88,group_work,5,6,5,2,5,4,4,5,5,4,3,3,3,3,4,3,3,4,3,4,4,4,4,4
89,group_work,8,1,1,1,1,1,1,3,3,2,1,1,2,2,1,2,2,2,2,2,1,1,1,1
90,group_work,9,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1
91,group_work,8,3,3,1,5,5,4,4,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3
92,group_work,9,2,2,1,1,1,2,1,2,1,1,2,1,2,2,3,2,1,2,3,2,1,2,3
93,group_work,5,2,2,1,3,2,1,3,7,3,1,3,2,2,2,1,1,2,2,2,3,2,2,1
94,group_work,4,2,1,1,4,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,3,2,2,2
95,group_work,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
96,group_work,2,1,1,2,2,2,1,1,2,2,2,1,5,1,4,4,2,2,1,2,1,1,2,1
97,group_work,8,2,1,2,2,2,2,1,1,1,2,1,1,2,4,1,1,1,1,1,2,2,2,1
98,group_work,9,3,4,1,4,2,3,3,4,3,4,4,3,4,4,5,3,4,3,3,3,3,4,3
99,group_work,1,2,2,2,3,3,2,3,4,4,2,4,2,2,4,2,2,3,3,3,3,3,3,3
100,group_work,4,1,1,1,3,2,1,1,1,1,1,2,1,1,2,1,2,2,3,2,2,2,1,1
101,group_work,4,3,2,1,2,2,3,3,3,2,2,2,3,3,2,3,3,3,3,3,3,2,3,2
102,group_work,7,1,1,1,1,1,1,1,7,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1
103,group_work,5,2,2,2,6,5,2,2,4,2,2,2,4,3,3,2,2,2,2,2,2,3,3,2
104,group_work,5,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2
105,group_work,5,3,1,1,1,1,2,2,3,1,1,2,2,2,3,2,3,3,1,4,6,4,4,3
106,group_work,5,2,2,1,6,2,2,5,6,2,1,1,2,1,3,2,2,2,2,3,2,3,3,1
